,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,mount airy,36.5,-80.61,80.6,78,90,6.93,US,1599761615
88,baicheng,45.62,122.82,53.98,85,81,14.27,CN,1599761615
89,biak,-0.91,122.88,76.86,82,57,6.44,ID,1599761615
90,saldanha,-33.01,17.94,64.4,63,8,9.17,ZA,1599761080
91,aviles,43.55,-5.92,72.0,82,20,4.7,ES,1599761616
92,thunder bay,48.4,-89.32,60.8,44,20,12.75,CA,1599761616
93,salalah,17.02,54.09,80.6,78,40,3.36,OM,1599761078
94,ushuaia,-54.8,-68.3,48.2,57,40,16.11,AR,1599761596
95,muzhi,65.37,64.67,56.62,83,94,14.09,RU,1599761616
96,tarauaca,-8.16,-70.77,104.54,26,27,1.03,BR,1599761607
97,hasaki,35.73,140.83,77.0,94,40,5.82,JP,1599761597
98,airai,-8.93,125.41,56.57,100,37,2.73,TL,1599761088
99,batalha,-9.68,-37.12,83.03,51,43,17.87,BR,1599761434
100,sitka,57.05,-135.33,55.4,87,90,6.93,US,1599761047
101,lazaro cardenas,17.96,-102.2,86.23,67,51,6.29,MX,1599761617
102,avarua,-21.21,-159.78,71.6,94,98,13.87,CK,1599761038
103,bethel,41.37,-73.41,80.01,78,90,5.82,US,1599761416
104,misratah,32.38,15.09,80.08,75,0,12.5,LY,1599761617
105,maragogi,-9.01,-35.22,77.85,76,10,13.67,BR,1599760796
106,beringovskiy,63.05,179.32,48.24,95,100,13.85,RU,1599761596
107,caravelas,-17.71,-39.25,79.07,53,20,8.59,BR,1599761616
108,torbay,47.67,-52.73,66.0,55,75,11.41,CA,1599761000
109,pisco,-13.7,-76.22,66.2,68,3,9.17,PE,1599761128
110,vostok,46.49,135.88,51.73,99,85,3.06,RU,1599761070
111,alice springs,-23.7,133.88,62.6,33,0,4.7,AU,1599761064
112,mataura,-46.19,168.86,39.0,89,62,1.01,NZ,1599761595
113,khatanga,71.97,102.5,43.18,93,61,7.05,RU,1599761045
114,saint-philippe,-21.36,55.77,69.8,77,20,9.17,RE,1599761068
115,ancud,-41.87,-73.82,54.0,65,75,5.99,CL,1599761083
116,comodoro rivadavia,-45.87,-67.5,64.4,34,75,20.8,AR,1599761619
117,mosquera,4.71,-74.23,66.2,45,75,10.29,CO,1599761619
118,pittsburg,38.03,-121.88,66.2,82,90,3.36,US,1599761619
119,buin,-33.73,-70.75,69.01,48,0,5.82,CL,1599761620
120,jamestown,42.1,-79.24,68.0,88,90,4.7,US,1599761038
121,vestmannaeyjar,63.44,-20.27,48.2,93,90,9.17,IS,1599761046
122,vanavara,60.34,102.28,43.12,86,100,4.41,RU,1599761620
123,resistencia,-27.46,-58.98,87.01,37,0,9.17,AR,1599761620
124,barrow,71.29,-156.79,39.2,93,90,23.04,US,1599760803
125,saint george,37.1,-113.58,72.0,27,1,3.36,US,1599760875
126,ponta do sol,32.67,-17.1,77.0,61,20,16.11,PT,1599761050
127,seymchan,62.88,152.43,39.18,86,70,7.31,RU,1599761617
128,butaritari,3.07,172.79,82.47,79,76,16.33,KI,1599761597
129,galeana,24.83,-100.07,67.84,75,99,7.34,MX,1599761621
130,cairns,-16.92,145.77,69.8,73,16,8.05,AU,1599761606
131,araouane,18.9,-3.53,107.06,12,0,11.63,ML,1599761622
132,sibolga,1.74,98.78,74.59,86,100,2.39,ID,1599761622
133,oga,46.46,10.35,60.8,72,20,8.05,IT,1599761622
134,san quintin,30.48,-115.95,81.23,38,0,7.52,MX,1599761057
135,camacha,33.08,-16.33,75.2,64,75,16.11,PT,1599761615
136,kendari,-3.94,122.5,74.39,91,52,1.48,ID,1599761623
